Source,Target,Weight,Type
css,test,1,Undirected
css,browser,3,Undirected
css,device,1,Undirected
css,mobile,1,Undirected
css,scss,1,Undirected
css,mixin,1,Undirected
css,graphics,1,Undirected
css,scheme,1,Undirected
css,online,1,Undirected
css,tool,1,Undirected
css,web2.0,1,Undirected
css,colours,1,Undirected
css,colour,1,Undirected
css,colorscheme,1,Undirected
css,shadow,1,Undirected
css,inline,1,Undirected
css,override,1,Undirected
css,style,1,Undirected
css,jquery,1,Undirected
css,hover,1,Undirected
css,generator,1,Undirected
css,iphone,1,Undirected
css,float,3,Undirected
css,hacks,1,Undirected
css,menu,1,Undirected
css,firefox,1,Undirected
css,selectors,2,Undirected
css,addon,1,Undirected
css,blueprint,1,Undirected
css,code,1,Undirected
css,print,1,Undirected
css,печать,1,Undirected
css,sprites,1,Undirected
css,спрайты,1,Undirected
css,vertical,1,Undirected
css,support,1,Undirected
css,reset,2,Undirected
css,typo,1,Undirected
css,dom,1,Undirected
css,margins,1,Undirected
css,pointer,1,Undirected
css,cursor,1,Undirected
css,hr,1,Undirected
css,tutorial,1,Undirected
css,browsers,1,Undirected
css,parent,1,Undirected
css,hack,1,Undirected
css,javascript,1,Undirected
css,transparency,1,Undirected
css,закругленные,1,Undirected
css,углы,1,Undirected
css,boxmodel,1,Undirected
html,colors,1,Undirected
html,color,1,Undirected
html,web,4,Undirected
html,design,5,Undirected
html,webdesign,4,Undirected
html,template,2,Undirected
html,performance,1,Undirected
html,css3,1,Undirected
html,buttons,1,Undirected
html,assets,1,Undirected
html,images,1,Undirected
html,pictures,1,Undirected
html,icons,1,Undirected
html,icon,1,Undirected
html,boilerplate,2,Undirected
html,twitter,1,Undirected
html,bootstrap,1,Undirected
html,select,1,Undirected
html,dropdown,1,Undirected
html,long,1,Undirected
html,multi,1,Undirected
